Position (mm),Force (N),Strain (%),Stress (N/mm�),Time (sec)
19.35,5310,77.4,187.9,1161
19.35,5310,77.4,187.9,1161
19.35,5320,77.4,188,1161
19.35,5320,77.4,188,1161
19.35,5310,77.4,187.9,1161
19.35,5310,77.4,187.9,1161
19.35,5310,77.4,187.9,1161
19.35,5310,77.4,187.9,1161
19.36,5310,77.4,187.9,1161
19.36,5310,77.4,187.9,1162
19.36,5310,77.4,187.9,1162
19.36,5310,77.4,187.9,1162
19.36,5310,77.4,187.9,1162
19.36,5310,77.4,187.9,1162
19.36,5310,77.4,187.9,1162
19.36,5310,77.4,187.9,1162
19.36,5310,77.5,187.9,1162
19.36,5310,77.5,187.9,1162
19.36,5310,77.5,187.9,1162
19.37,5310,77.5,187.9,1162
19.37,5310,77.5,187.9,1162
19.37,5310,77.5,187.9,1162
19.37,5310,77.5,187.9,1162
19.37,5310,77.5,187.9,1162
19.37,5310,77.5,187.9,1162
19.37,5310,77.5,187.9,1163
19.37,5310,77.5,187.9,1163
19.38,5320,77.5,188,1163
19.38,5310,77.5,187.9,1163
19.38,5310,77.5,187.9,1163
19.38,5310,77.5,187.9,1163
19.38,5310,77.5,187.9,1163
19.38,5310,77.5,187.9,1163
19.38,5310,77.5,187.9,1163
19.38,5310,77.5,187.9,1163
19.38,5310,77.5,187.9,1163
19.38,5310,77.5,187.9,1163
19.38,5310,77.5,187.9,1163
19.39,5310,77.5,187.9,1163
19.39,5320,77.5,188,1163
19.39,5310,77.6,187.9,1163
19.39,5310,77.6,187.9,1164
19.39,5310,77.6,187.9,1164
19.39,5310,77.6,187.9,1164
19.39,5310,77.6,187.9,1164
19.39,5310,77.6,187.9,1164
19.39,5310,77.6,187.9,1164
19.4,5310,77.6,187.9,1164
19.4,5310,77.6,187.9,1164
19.4,5310,77.6,187.9,1164
19.4,5310,77.6,187.9,1164
19.4,5320,77.6,188,1164
19.4,5320,77.6,188,1164
19.4,5310,77.6,187.9,1164
19.4,5310,77.6,187.9,1164
19.4,5310,77.6,187.9,1164
19.4,5310,77.6,187.9,1164
19.41,5310,77.6,187.9,1165
19.41,5320,77.6,188,1165
19.41,5310,77.6,187.9,1165
19.41,5310,77.6,187.9,1165
19.41,5310,77.6,187.9,1165
19.41,5310,77.6,187.9,1165
19.41,5310,77.6,187.9,1165
19.41,5310,77.7,187.9,1165
19.41,5310,77.7,187.9,1165
19.42,5310,77.7,187.9,1165
19.42,5310,77.7,187.9,1165
19.42,5310,77.7,187.9,1165
19.42,5310,77.7,187.9,1165
19.42,5320,77.7,188,1165
19.42,5310,77.7,187.9,1165
19.42,5310,77.7,187.9,1165
19.42,5310,77.7,187.9,1166
19.42,5310,77.7,187.9,1166
19.42,5310,77.7,187.9,1166
19.43,5320,77.7,188,1166
19.43,5310,77.7,187.9,1166
19.43,5310,77.7,187.9,1166
19.43,5310,77.7,187.9,1166
19.43,5310,77.7,187.9,1166
19.43,5310,77.7,187.9,1166
19.43,5310,77.7,187.9,1166
19.43,5310,77.7,187.9,1166
19.43,5310,77.7,187.9,1166
19.44,5310,77.7,187.9,1166
19.44,5310,77.7,187.9,1166
19.44,5310,77.7,187.9,1166
19.44,5310,77.8,187.9,1166
19.44,5310,77.8,187.9,1167
19.44,5310,77.8,187.9,1167
19.44,5310,77.8,187.9,1167
19.44,5310,77.8,187.9,1167
19.44,5310,77.8,187.9,1167
19.44,5310,77.8,187.9,1167
19.44,5320,77.8,188,1167
19.45,5320,77.8,188,1167
19.45,5310,77.8,187.9,1167
19.45,5310,77.8,187.9,1167
19.45,5310,77.8,187.9,1167
19.45,5320,77.8,188,1167
19.45,5320,77.8,188,1167
19.45,5320,77.8,188,1167
19.45,5310,77.8,187.9,1167
19.46,5310,77.8,187.9,1167
19.46,5310,77.8,187.9,1168
19.46,5320,77.8,188,1168
19.46,5320,77.8,188,1168
19.46,5310,77.8,187.9,1168
19.46,5310,77.8,187.9,1168
19.46,5310,77.8,187.9,1168
19.46,5310,77.8,187.9,1168
19.46,5310,77.9,187.9,1168
19.46,5310,77.9,187.9,1168
19.46,5310,77.9,187.9,1168
19.47,5310,77.9,187.9,1168
19.47,5310,77.9,187.9,1168
19.47,5310,77.9,187.9,1168
19.47,5310,77.9,187.9,1168
19.47,5310,77.9,187.9,1168
19.47,5310,77.9,187.9,1168
19.47,5310,77.9,187.9,1169
19.47,5310,77.9,187.9,1169
19.48,5310,77.9,187.9,1169
19.48,5310,77.9,187.9,1169
19.48,5320,77.9,188,1169
19.48,5310,77.9,187.9,1169
19.48,5310,77.9,187.9,1169
19.48,5310,77.9,187.9,1169
19.48,5310,77.9,187.9,1169
19.48,5320,77.9,188,1169
19.48,5320,77.9,188,1169
19.48,5320,77.9,188,1169
19.48,5310,77.9,187.9,1169
19.49,5310,77.9,187.9,1169
19.49,5310,77.9,187.9,1169
19.49,5320,78,188,1169
19.49,5320,78,188,1170
19.49,5310,78,187.9,1170
19.49,5310,78,187.9,1170
19.49,5310,78,187.9,1170
19.49,5310,78,187.9,1170
19.49,5310,78,187.9,1170
19.5,5320,78,188,1170
19.5,5320,78,188,1170
19.5,5310,78,187.9,1170
19.5,5310,78,187.9,1170
19.5,5310,78,187.9,1170
19.5,5310,78,187.9,1170
19.5,5320,78,188,1170
19.5,5320,78,188,1170
19.5,5310,78,187.9,1170
19.5,5310,78,187.9,1170
19.51,5310,78,187.9,1171
19.51,5310,78,187.9,1171
19.51,5320,78,188,1171
19.51,5310,78,187.9,1171
19.51,5310,78,187.9,1171
19.51,5310,78,187.9,1171
19.51,5310,78,187.9,1171
19.51,5310,78.1,187.9,1171
19.51,5320,78.1,188,1171
19.52,5320,78.1,188,1171
19.52,5310,78.1,187.9,1171
19.52,5310,78.1,187.9,1171
19.52,5310,78.1,187.9,1171
19.52,5310,78.1,187.9,1171
19.52,5320,78.1,188,1171
19.52,5320,78.1,188,1171
19.52,5320,78.1,188,1172
19.52,5310,78.1,187.9,1172
19.52,5310,78.1,187.9,1172
19.53,5310,78.1,187.9,1172
19.53,5310,78.1,187.9,1172
19.53,5320,78.1,188,1172
19.53,5310,78.1,187.9,1172
19.53,5310,78.1,187.9,1172
19.53,5310,78.1,187.9,1172
19.53,5310,78.1,187.9,1172
19.53,5310,78.1,187.9,1172
19.53,5320,78.1,188,1172
19.54,5320,78.1,188,1172
19.54,5310,78.1,187.9,1172
19.54,5310,78.1,187.9,1172
19.54,5310,78.2,187.9,1172
19.54,5310,78.2,187.9,1173
19.54,5310,78.2,187.9,1173
19.54,5310,78.2,187.9,1173
19.54,5310,78.2,187.9,1173
19.54,5310,78.2,187.9,1173
19.54,5310,78.2,187.9,1173
19.54,5310,78.2,187.9,1173
19.55,5320,78.2,188,1173
19.55,5310,78.2,187.9,1173
19.55,5310,78.2,187.9,1173
19.55,5310,78.2,187.9,1173
19.55,5310,78.2,187.9,1173
19.55,5310,78.2,187.9,1173
19.55,5320,78.2,188,1173
19.55,5320,78.2,188,1173
19.56,5310,78.2,187.9,1173
19.56,5310,78.2,187.9,1174
19.56,5310,78.2,187.9,1174
19.56,5310,78.2,187.9,1174
19.56,5320,78.2,188,1174
19.56,5320,78.2,188,1174
19.56,5310,78.2,187.9,1174
19.56,5310,78.2,187.9,1174
19.56,5310,78.3,187.9,1174
19.56,5310,78.3,187.9,1174
19.57,5310,78.3,187.9,1174
19.57,5320,78.3,188,1174
19.57,5310,78.3,187.9,1174
19.57,5310,78.3,187.9,1174
19.57,5310,78.3,187.9,1174
19.57,5310,78.3,187.9,1174
19.57,5310,78.3,187.9,1174
19.57,5310,78.3,187.9,1175
19.57,5310,78.3,187.9,1175
19.57,5310,78.3,187.9,1175
19.58,5310,78.3,187.9,1175
19.58,5310,78.3,187.9,1175
19.58,5310,78.3,187.9,1175
19.58,5320,78.3,188,1175
19.58,5310,78.3,187.9,1175
19.58,5310,78.3,187.9,1175
19.58,5310,78.3,187.9,1175
19.58,5310,78.3,187.9,1175
19.58,5320,78.3,188,1175
19.58,5320,78.3,188,1175
19.59,5320,78.3,188,1175
19.59,5310,78.3,187.9,1175
19.59,5310,78.4,187.9,1175
19.59,5310,78.4,187.9,1176
19.59,5320,78.4,188,1176
19.59,5320,78.4,188,1176
19.59,5320,78.4,188,1176
19.59,5310,78.4,187.9,1176
19.59,5310,78.4,187.9,1176
19.6,5310,78.4,187.9,1176
19.6,5310,78.4,187.9,1176
19.6,5310,78.4,187.9,1176
19.6,5310,78.4,187.9,1176
19.6,5310,78.4,187.9,1176
19.6,5310,78.4,187.9,1176
19.6,5310,78.4,187.9,1176
19.6,5310,78.4,187.9,1176
19.6,5310,78.4,187.9,1176
19.6,5320,78.4,188,1176
19.61,5310,78.4,187.9,1177
19.61,5310,78.4,187.9,1177
19.61,5310,78.4,187.9,1177
19.61,5310,78.4,187.9,1177
19.61,5320,78.4,188,1177
19.61,5320,78.4,188,1177
19.61,5310,78.4,187.9,1177
19.61,5310,78.5,187.9,1177
19.61,5310,78.5,187.9,1177
19.62,5310,78.5,187.9,1177
19.62,5310,78.5,187.9,1177
19.62,5320,78.5,188,1177
19.62,5310,78.5,187.9,1177
19.62,5310,78.5,187.9,1177
19.62,5310,78.5,187.9,1177
19.62,5310,78.5,187.9,1177
19.62,5320,78.5,188,1178
19.62,5320,78.5,188,1178
19.62,5310,78.5,187.9,1178
19.62,5310,78.5,187.9,1178
19.63,5310,78.5,187.9,1178
19.63,5310,78.5,187.9,1178
19.63,5310,78.5,187.9,1178
19.63,5320,78.5,188,1178
19.63,5310,78.5,187.9,1178
19.63,5310,78.5,187.9,1178
19.63,5310,78.5,187.9,1178
19.63,5310,78.5,187.9,1178
19.64,5310,78.5,187.9,1178
19.64,5310,78.5,187.9,1178
19.64,5310,78.5,187.9,1178
19.64,5310,78.6,187.9,1178
19.64,5310,78.6,187.9,1179
19.64,5310,78.6,187.9,1179
19.64,5310,78.6,187.9,1179
19.64,5320,78.6,188,1179
19.64,5320,78.6,188,1179
19.64,5310,78.6,187.9,1179
19.64,5310,78.6,187.9,1179
19.65,5310,78.6,187.9,1179
19.65,5310,78.6,187.9,1179
19.65,5310,78.6,187.9,1179
19.65,5310,78.6,187.9,1179
19.65,5310,78.6,187.9,1179
19.65,5310,78.6,187.9,1179
19.65,5310,78.6,187.9,1179
19.65,5310,78.6,187.9,1179
19.66,5320,78.6,188,1179
19.66,5320,78.6,188,1180
19.66,5320,78.6,188,1180
19.66,5310,78.6,187.9,1180
19.66,5310,78.6,187.9,1180
19.66,5310,78.6,187.9,1180
19.66,5320,78.6,188,1180
19.66,5320,78.6,188,1180
19.66,5310,78.7,187.9,1180
19.66,5310,78.7,187.9,1180
19.66,5310,78.7,187.9,1180
19.67,5310,78.7,187.9,1180
19.67,5310,78.7,187.9,1180
19.67,5310,78.7,187.9,1180
19.67,5310,78.7,187.9,1180
19.67,5310,78.7,187.9,1180
19.67,5310,78.7,187.9,1180
19.67,5310,78.7,187.9,1181
19.67,5310,78.7,187.9,1181
19.68,5310,78.7,187.9,1181
19.68,5310,78.7,187.9,1181
19.68,5310,78.7,187.9,1181
19.68,5310,78.7,187.9,1181
19.68,5310,78.7,187.9,1181
19.68,5310,78.7,187.9,1181
19.68,5320,78.7,188,1181
19.68,5320,78.7,188,1181
19.68,5310,78.7,187.9,1181
19.68,5310,78.7,187.9,1181
19.68,5310,78.7,187.9,1181
19.69,5310,78.7,187.9,1181
19.69,5320,78.7,188,1181
19.69,5320,78.8,188,1181
19.69,5310,78.8,187.9,1182
19.69,5310,78.8,187.9,1182
19.69,5310,78.8,187.9,1182
19.69,5310,78.8,187.9,1182
19.69,5320,78.8,188,1182
19.69,5310,78.8,187.9,1182
19.7,5310,78.8,187.9,1182
19.7,5310,78.8,187.9,1182
19.7,5310,78.8,187.9,1182
19.7,5310,78.8,187.9,1182
19.7,5310,78.8,187.9,1182
19.7,5310,78.8,187.9,1182
19.7,5310,78.8,187.9,1182
19.7,5310,78.8,187.9,1182
19.7,5310,78.8,187.9,1182
19.7,5310,78.8,187.9,1182
19.71,5310,78.8,187.9,1183
19.71,5310,78.8,187.9,1183
19.71,5310,78.8,187.9,1183
19.71,5310,78.8,187.9,1183
19.71,5310,78.8,187.9,1183
19.71,5310,78.8,187.9,1183
19.71,5310,78.8,187.9,1183
19.71,5320,78.9,188,1183
19.71,5310,78.9,187.9,1183
19.72,5310,78.9,187.9,1183
19.72,5310,78.9,187.9,1183
19.72,5310,78.9,187.9,1183
19.72,5310,78.9,187.9,1183
19.72,5320,78.9,188,1183
19.72,5310,78.9,187.9,1183
19.72,5310,78.9,187.9,1183
19.72,5310,78.9,187.9,1184
19.72,5310,78.9,187.9,1184
19.72,5310,78.9,187.9,1184
19.73,5310,78.9,187.9,1184
19.73,5310,78.9,187.9,1184
19.73,5310,78.9,187.9,1184
19.73,5310,78.9,187.9,1184
19.73,5310,78.9,187.9,1184
19.73,5310,78.9,187.9,1184
19.73,5320,78.9,188,1184
19.73,5310,78.9,187.9,1184
19.73,5310,78.9,187.9,1184
19.74,5310,78.9,187.9,1184
19.74,5310,78.9,187.9,1184
19.74,5310,78.9,187.9,1184
19.74,5320,79,188,1184
19.74,5310,79,187.9,1185
19.74,5310,79,187.9,1185
19.74,5310,79,187.9,1185
19.74,5310,79,187.9,1185
19.74,5310,79,187.9,1185
19.74,5320,79,188,1185
19.75,5310,79,187.9,1185
19.75,5310,79,187.9,1185
19.75,5310,79,187.9,1185
19.75,5310,79,187.9,1185
19.75,5310,79,187.9,1185
19.75,5320,79,188,1185
19.75,5320,79,188,1185
19.75,5310,79,187.9,1185
19.75,5310,79,187.9,1185
19.76,5310,79,187.9,1185
19.76,5310,79,187.9,1186
19.76,5310,79,187.9,1186
19.76,5320,79,188,1186
19.76,5310,79,187.9,1186
19.76,5310,79,187.9,1186
19.76,5310,79,187.9,1186
19.76,5310,79,187.9,1186
19.76,5320,79.1,188,1186
19.76,5320,79.1,188,1186
19.76,5310,79.1,187.9,1186
19.77,5310,79.1,187.9,1186
19.77,5310,79.1,187.9,1186
19.77,5310,79.1,187.9,1186
19.77,5320,79.1,188,1186
19.77,5310,79.1,187.9,1186
19.77,5310,79.1,187.9,1186
19.77,5310,79.1,187.9,1187
19.77,5310,79.1,187.9,1187
19.78,5310,79.1,187.9,1187
19.78,5310,79.1,187.9,1187
19.78,5310,79.1,187.9,1187
19.78,5310,79.1,187.9,1187
19.78,5310,79.1,187.9,1187
19.78,5310,79.1,187.9,1187
19.78,5310,79.1,187.9,1187
19.78,5310,79.1,187.9,1187
19.78,5310,79.1,187.9,1187
19.78,5310,79.1,187.9,1187
19.78,5310,79.1,187.9,1187
19.79,5310,79.1,187.9,1187
19.79,5310,79.1,187.9,1187
19.79,5310,79.2,187.9,1187
19.79,5310,79.2,187.9,1188
19.79,5310,79.2,187.9,1188
19.79,5310,79.2,187.9,1188
19.79,5310,79.2,187.9,1188
19.79,5310,79.2,187.9,1188
19.79,5310,79.2,187.9,1188
19.8,5310,79.2,187.9,1188
19.8,5310,79.2,187.9,1188
19.8,5310,79.2,187.9,1188
19.8,5310,79.2,187.9,1188
19.8,5310,79.2,187.9,1188
19.8,5310,79.2,187.9,1188
19.8,5310,79.2,187.9,1188
19.8,5310,79.2,187.9,1188
19.8,5310,79.2,187.9,1188
19.81,5310,79.2,187.9,1188
19.81,5310,79.2,187.9,1189
19.81,5310,79.2,187.9,1189
19.81,5310,79.2,187.9,1189
19.81,5310,79.2,187.9,1189
19.81,5310,79.2,187.9,1189
19.81,5310,79.2,187.9,1189
19.81,5310,79.2,187.9,1189
19.81,5310,79.3,187.9,1189
19.81,5310,79.3,187.9,1189
19.82,5310,79.3,187.9,1189
19.82,5310,79.3,187.9,1189
19.82,5310,79.3,187.9,1189
19.82,5310,79.3,187.9,1189
19.82,5310,79.3,187.9,1189
19.82,5320,79.3,188,1189
19.82,5320,79.3,188,1189
19.82,5310,79.3,187.9,1190
19.82,5310,79.3,187.9,1190
19.82,5310,79.3,187.9,1190
19.83,5310,79.3,187.9,1190
19.83,5320,79.3,188,1190
19.83,5310,79.3,187.9,1190
19.83,5310,79.3,187.9,1190
19.83,5310,79.3,187.9,1190
19.83,5310,79.3,187.9,1190
19.83,5310,79.3,187.9,1190
19.83,5310,79.3,187.9,1190
19.83,5310,79.3,187.9,1190
19.84,5310,79.3,187.9,1190
19.84,5310,79.3,187.9,1190
19.84,5310,79.3,187.9,1190
19.84,5310,79.4,187.9,1190
19.84,5310,79.4,187.9,1191
19.84,5310,79.4,187.9,1191
19.84,5310,79.4,187.9,1191
19.84,5310,79.4,187.9,1191
19.84,5310,79.4,187.9,1191
19.84,5310,79.4,187.9,1191
19.84,5310,79.4,187.9,1191
19.85,5320,79.4,188,1191
19.85,5310,79.4,187.9,1191
19.85,5310,79.4,187.9,1191
19.85,5310,79.4,187.9,1191
19.85,5310,79.4,187.9,1191
19.85,5310,79.4,187.9,1191
19.85,5320,79.4,188,1191
19.85,5320,79.4,188,1191
19.86,5310,79.4,187.9,1191
19.86,5310,79.4,187.9,1192
19.86,5310,79.4,187.9,1192
19.86,5310,79.4,187.9,1192
19.86,5320,79.4,188,1192
19.86,5310,79.4,187.9,1192
19.86,5310,79.4,187.9,1192
19.86,5310,79.4,187.9,1192
19.86,5310,79.5,187.9,1192
19.86,5310,79.5,187.9,1192
19.86,5310,79.5,187.9,1192
19.87,5310,79.5,187.9,1192
19.87,5310,79.5,187.9,1192
19.87,5310,79.5,187.9,1192
19.87,5310,79.5,187.9,1192
19.87,5310,79.5,187.9,1192
19.87,5310,79.5,187.9,1192
19.87,5310,79.5,187.9,1193
19.87,5310,79.5,187.9,1193
19.88,5310,79.5,187.9,1193
19.88,5310,79.5,187.9,1193
19.88,5310,79.5,187.9,1193
19.88,5310,79.5,187.9,1193
19.88,5310,79.5,187.9,1193
19.88,5310,79.5,187.9,1193
19.88,5310,79.5,187.9,1193
19.88,5310,79.5,187.9,1193
19.88,5310,79.5,187.9,1193
19.88,5310,79.5,187.9,1193
19.88,5320,79.5,188,1193
19.89,5310,79.5,187.9,1193
19.89,5310,79.5,187.9,1193
19.89,5310,79.6,187.9,1193
19.89,5310,79.6,187.9,1194
19.89,5310,79.6,187.9,1194
19.89,5310,79.6,187.9,1194
19.89,5310,79.6,187.9,1194
19.89,5310,79.6,187.9,1194
19.89,5310,79.6,187.9,1194
19.9,5310,79.6,187.9,1194
19.9,5310,79.6,187.9,1194
19.9,5310,79.6,187.9,1194
19.9,5310,79.6,187.9,1194
19.9,5310,79.6,187.9,1194
19.9,5310,79.6,187.9,1194
19.9,5310,79.6,187.9,1194
19.9,5310,79.6,187.9,1194
19.9,5310,79.6,187.9,1194
19.91,5310,79.6,187.9,1194
19.91,5310,79.6,187.9,1195
19.91,5310,79.6,187.9,1195
19.91,5310,79.6,187.9,1195
19.91,5310,79.6,187.9,1195
19.91,5310,79.6,187.9,1195
19.91,5310,79.6,187.9,1195
19.91,5310,79.6,187.9,1195
19.91,5310,79.7,187.9,1195
19.91,5310,79.7,187.9,1195
19.92,5310,79.7,187.9,1195
19.92,5310,79.7,187.9,1195
19.92,5310,79.7,187.9,1195
19.92,5310,79.7,187.9,1195
19.92,5310,79.7,187.9,1195
19.92,5310,79.7,187.9,1195
19.92,5310,79.7,187.9,1195
19.92,5310,79.7,187.9,1196
19.92,5310,79.7,187.9,1196
19.92,5310,79.7,187.9,1196
19.93,5310,79.7,187.9,1196
19.93,5310,79.7,187.9,1196
19.93,5310,79.7,187.9,1196
19.93,5310,79.7,187.9,1196
19.93,5310,79.7,187.9,1196
19.93,5310,79.7,187.9,1196
19.93,5310,79.7,187.9,1196
19.93,5310,79.7,187.9,1196
19.93,5310,79.7,187.9,1196
19.94,5310,79.7,187.9,1196
19.94,5310,79.7,187.9,1196
19.94,5310,79.7,187.9,1196
19.94,5310,79.8,187.9,1196
19.94,5310,79.8,187.9,1197
19.94,5310,79.8,187.9,1197
19.94,5310,79.8,187.9,1197
19.94,5310,79.8,187.9,1197
19.94,5310,79.8,187.9,1197
19.94,5310,79.8,187.9,1197
19.94,5310,79.8,187.9,1197
19.95,5310,79.8,187.9,1197
19.95,5310,79.8,187.9,1197
19.95,5310,79.8,187.9,1197
19.95,5310,79.8,187.9,1197
19.95,5310,79.8,187.9,1197
19.95,5310,79.8,187.9,1197
19.95,5310,79.8,187.9,1197
19.95,5310,79.8,187.9,1197
19.96,5310,79.8,187.9,1197
19.96,5310,79.8,187.9,1198
19.96,5310,79.8,187.9,1198
19.96,5310,79.8,187.9,1198
19.96,5310,79.8,187.9,1198
19.96,5310,79.8,187.9,1198
19.96,5310,79.8,187.9,1198
19.96,5310,79.8,187.9,1198
19.96,5310,79.9,187.9,1198
19.96,5310,79.9,187.9,1198
19.96,5310,79.9,187.9,1198
19.97,5310,79.9,187.9,1198
19.97,5310,79.9,187.9,1198
19.97,5310,79.9,187.9,1198
19.97,5310,79.9,187.9,1198
19.97,5310,79.9,187.9,1198
19.97,5310,79.9,187.9,1198
19.97,5310,79.9,187.9,1199
19.97,5310,79.9,187.9,1199
19.98,5310,79.9,187.9,1199
19.98,5310,79.9,187.9,1199
19.98,5310,79.9,187.9,1199
19.98,5310,79.9,187.9,1199
19.98,5310,79.9,187.9,1199
19.98,5310,79.9,187.9,1199
19.98,5310,79.9,187.9,1199
19.98,5310,79.9,187.9,1199
19.98,5310,79.9,187.9,1199
19.98,5310,79.9,187.9,1199
19.98,5310,79.9,187.9,1199
19.99,5310,79.9,187.9,1199
19.99,5310,79.9,187.9,1199
19.99,5310,80,187.9,1199
19.99,5310,80,187.9,1200
19.99,5310,80,187.9,1200
19.99,5310,80,187.9,1200
19.99,5310,80,187.9,1200
19.99,5310,80,187.9,1200
19.99,5310,80,187.9,1200
20,5310,80,187.9,1200
20,5310,80,187.9,1200
20,5310,80,187.9,1200
20,5310,80,187.9,1200
20,5310,80,187.9,1200
20,5310,80,187.9,1200
20,5310,80,187.9,1200
20,5310,80,187.9,1200
20,5310,80,187.9,1200
20,5310,80,187.9,1200
20,5310,80,187.9,1201
20,5310,80,187.9,1201
20,5310,80,187.9,1201
20,5310,80,187.9,1201
20,5310,80,187.9,1201
20,5310,80,187.9,1201
20,5310,80,187.9,1201
20,5310,80.1,187.9,1201
20,5310,80.1,187.9,1201
20,5310,80.1,187.9,1201
20,5310,80.1,187.9,1201
20,5310,80.1,187.9,1201
20,5310,80.1,187.9,1201
20,5310,80.1,187.9,1201
20,5310,80.1,187.9,1201
20,5310,80.1,187.9,1201
20,5310,80.1,187.9,1202
20,5310,80.1,187.9,1202
20,5310,80.1,187.9,1202
20,5310,80.1,187.9,1202
20,5310,80.1,187.9,1202
20,5310,80.1,187.9,1202
20,5310,80.1,187.9,1202
20,5310,80.1,187.9,1202
20,5310,80.1,187.9,1202
20,5310,80.1,187.9,1202
20,5310,80.1,187.9,1202
20,5310,80.1,187.9,1202
20,5310,80.1,187.9,1202
20,5310,80.1,187.9,1202
20,5310,80.1,187.9,1202
20,5310,80.2,187.9,1202
20,5310,80.2,187.9,1203
20,5310,80.2,187.9,1203
20,5310,80.2,187.9,1203
20,5310,80.2,187.9,1203
20,5310,80.2,187.9,1203
20,5310,80.2,187.9,1203
20,5310,80.2,187.9,1203
20,5310,80.2,187.9,1203
20,5310,80.2,187.9,1203
20,5310,80.2,187.9,1203
20,5310,80.2,187.9,1203
20.1,5310,80.2,187.9,1203
20.1,5310,80.2,187.9,1203
20.1,5310,80.2,187.9,1203
20.1,5310,80.2,187.9,1203
20.1,5310,80.2,187.9,1203
20.1,5310,80.2,187.9,1204
20.1,5310,80.2,187.9,1204
20.1,5310,80.2,187.9,1204
20.1,5310,80.2,187.9,1204
20.1,5310,80.2,187.9,1204
20.1,5310,80.2,187.9,1204
20.1,5310,80.2,187.9,1204
20.1,5310,80.3,187.9,1204
20.1,5310,80.3,187.9,1204
20.1,5310,80.3,187.9,1204
20.1,5310,80.3,187.9,1204
20.1,5310,80.3,187.9,1204
20.1,5310,80.3,187.9,1204
20.1,5310,80.3,187.9,1204
20.1,5310,80.3,187.9,1204
20.1,5310,80.3,187.9,1204
20.1,5310,80.3,187.9,1205
20.1,5310,80.3,187.9,1205
20.1,5310,80.3,187.9,1205
20.1,5310,80.3,187.9,1205
20.1,5310,80.3,187.9,1205
20.1,5310,80.3,187.9,1205
20.1,5310,80.3,187.9,1205
20.1,5310,80.3,187.9,1205
20.1,5310,80.3,187.9,1205
20.1,5310,80.3,187.9,1205
20.1,5310,80.3,187.9,1205
20.1,5310,80.3,187.9,1205
20.1,5310,80.3,187.9,1205
20.1,5310,80.3,187.9,1205
20.1,5310,80.3,187.9,1205
20.1,5310,80.4,187.9,1205
20.1,5310,80.4,187.9,1206
20.1,5310,80.4,187.9,1206
20.1,5310,80.4,187.9,1206
20.1,5310,80.4,187.9,1206
20.1,5310,80.4,187.9,1206
20.1,5310,80.4,187.9,1206
20.1,5310,80.4,187.9,1206
20.1,5310,80.4,187.9,1206
20.1,5310,80.4,187.9,1206
20.1,5310,80.4,187.9,1206
20.1,5310,80.4,187.9,1206
20.1,5310,80.4,187.9,1206
20.1,5310,80.4,187.9,1206
20.1,5310,80.4,187.9,1206
20.1,5310,80.4,187.9,1206
20.1,5310,80.4,187.9,1206
20.1,5310,80.4,187.9,1207
20.1,5310,80.4,187.9,1207
20.1,5310,80.4,187.9,1207
20.1,5310,80.4,187.9,1207
20.1,5310,80.4,187.9,1207
20.1,5310,80.4,187.9,1207
20.1,5310,80.4,187.9,1207
20.1,5310,80.5,187.9,1207
20.1,5310,80.5,187.9,1207
20.1,5310,80.5,187.9,1207
20.1,5310,80.5,187.9,1207
20.1,5310,80.5,187.9,1207
20.1,5310,80.5,187.9,1207
20.1,5310,80.5,187.9,1207
20.1,5310,80.5,187.9,1207
20.1,5310,80.5,187.9,1207
20.1,5310,80.5,187.9,1208
20.1,5310,80.5,187.9,1208
20.1,5310,80.5,187.9,1208
20.1,5310,80.5,187.9,1208
20.1,5310,80.5,187.9,1208
20.1,5310,80.5,187.9,1208
20.1,5310,80.5,187.8,1208
20.1,5310,80.5,187.8,1208
20.1,5310,80.5,187.9,1208
20.1,5310,80.5,187.9,1208
20.1,5310,80.5,187.9,1208
20.1,5310,80.5,187.9,1208
20.1,5310,80.5,187.9,1208
20.1,5310,80.5,187.9,1208
20.1,5310,80.5,187.9,1208
20.1,5310,80.6,187.9,1208
20.1,5310,80.6,187.9,1209
20.1,5310,80.6,187.9,1209
20.1,5310,80.6,187.9,1209
20.1,5310,80.6,187.9,1209
20.1,5310,80.6,187.9,1209
20.1,5310,80.6,187.9,1209
20.1,5310,80.6,187.9,1209
20.1,5310,80.6,187.9,1209
20.1,5310,80.6,187.9,1209
20.1,5310,80.6,187.9,1209
20.2,5310,80.6,187.9,1209
20.2,5310,80.6,187.9,1209
20.2,5310,80.6,187.9,1209
20.2,5310,80.6,187.9,1209
20.2,5310,80.6,187.9,1209
20.2,5310,80.6,187.9,1209
20.2,5310,80.6,187.9,1210
20.2,5310,80.6,187.9,1210
20.2,5310,80.6,187.9,1210
20.2,5310,80.6,187.9,1210
20.2,5310,80.6,187.9,1210
20.2,5310,80.6,187.8,1210
20.2,5310,80.6,187.9,1210
20.2,5310,80.7,187.9,1210
20.2,5310,80.7,187.9,1210
20.2,5310,80.7,187.9,1210
20.2,5310,80.7,187.9,1210
20.2,5310,80.7,187.8,1210
20.2,5310,80.7,187.9,1210
20.2,5310,80.7,187.9,1210
20.2,5310,80.7,187.9,1210
20.2,5310,80.7,187.9,1210
20.2,5310,80.7,187.9,1211
20.2,5310,80.7,187.8,1211
20.2,5310,80.7,187.8,1211
20.2,5310,80.7,187.9,1211
20.2,5310,80.7,187.9,1211
20.2,5310,80.7,187.9,1211
